,Unnamed: 0,xc,xc_stderr,yc,yc_stderr,rc,rc_stderr,theta0,theta0_stderr,Qtot,Qtot_stderr,fr,fr_stderr,alpha,alpha_stderr,a,a_stderr,phi,phi_stderr,Qc,Qc_stderr,Qc2,Qc2_stderr,Qi,Qi_stderr,nbar,tau,tau_stderr,temperature (mK)
0,0,-0.7769601500915307,7.602138397051822e-05,0.6571585421504708,7.55367728289763e-05,0.9004792180074526,6.523412797632189e-05,-0.7507730029932353,8.62000765650886e-05,82716.1511927466,9.9498029813568,5288309513.352803,4.338720758301911,2.4166664675831937,5.4411380983766634e-05,1.9175195131516447,0.00010430655009671502,0.0258468169866366,0.00010190282686662864,88069.68045073783,13.262141834302833,88099.10646665117,13.26860303097349,1353758.0454677548,4113.2351032086935,6691910.6423689965,0.0,0.0,22.23
0,0,-0.7699731597208526,7.483962695426008e-05,0.6635279973558498,7.455617630438412e-05,0.9000317580793717,6.43115862372413e-05,-0.7611206746084909,8.659094745373383e-05,82795.4738492161,10.010446746402566,5288309497.078666,4.356300829638334,2.4069068054682345,5.395957744031764e-05,1.9158679505116656,0.00010335410046886959,0.026434826486932742,0.00010199128607326696,88121.99868015715,13.257658710889118,88152.79747628127,13.26442273043451,1362369.1877246206,4169.331656679217,6700770.951150624,0.0,0.0,80.73
0,0,-0.7559289874169948,7.341782784992401e-05,0.6768975126961898,7.34865872650812e-05,0.901444817947762,6.326777394699951e-05,-0.7809148412883292,8.508139805924408e-05,83039.69804809822,9.882934399090162,5288309499.591985,4.274044884261744,2.3874833650925704,5.308128843763172e-05,1.9155346645402198,0.00010167075890492258,0.02680555279110664,0.00010024520710217864,88228.04068374082,13.058807174350536,88259.74776144545,13.065653900025364,1404021.648524142,4349.069550496381,6732258.8684343165,0.0,0.0,153.83
0,0,-0.7501225845028393,7.860061298512814e-05,0.6828512064647292,7.881473491452024e-05,0.9023730137682948,6.780620976764264e-05,-0.7884333990286939,8.999756919055776e-05,83105.18057278419,10.467317491622683,5288309478.236077,4.5192245678040255,2.379591938943694,5.667093488169095e-05,1.9161588096465292,0.00010858586304335376,0.026432684382594832,0.0001063167381963006,88235.53090135698,13.873399534851382,88266.36437804841,13.880465106838624,1421261.5607022191,4724.83538589243,6742308.413676713,0.0,0.0,167.19
0,0,-0.7464243949391332,8.051448147831911e-05,0.6878498450293833,8.089159869423839e-05,0.9019323774393496,6.951222749250055e-05,-0.7947464044335195,0.00011038804824823038,83026.86666175367,12.819303545362038,5288309333.736132,5.545750025749936,2.3734087395106154,6.148817098141217e-05,1.9163619402487408,0.00011783857378492373,0.026562490354341328,0.0001263019437182156,88204.79853512693,16.158614711176735,88235.92483451107,16.167028492748884,1406387.1285456421,5513.492137747211,6731952.315296387,0.0,0.0,250.31
0,0,-0.7418713123420007,8.165340651292918e-05,0.6994338472562559,8.229331721085382e-05,0.8970146727872379,7.054858324586258e-05,-0.8061647333016523,9.498009428325926e-05,82559.31679231468,10.929612674492288,5288308684.516887,4.785196783795186,2.362134593335791,5.91352115414317e-05,1.9160117158395185,0.00011330322481915061,0.026706673047649957,0.00011184438590083152,88172.81535332305,14.544040781032152,88204.26917180578,14.55161549196024,1290016.94105455,4099.881099724572,6658762.511664794,0.0,0.0,304.58
0,0,-0.7495297764126778,8.038983206680546e-05,0.7057959329938054,8.113409843471746e-05,0.8882281960505871,6.938552132917041e-05,-0.8047197882237758,9.946138294402625e-05,81673.30123589393,11.247046017792428,5288307339.5446615,5.038118868041757,2.3633736040394435,5.908636401886858e-05,1.9171824854563453,0.00011327904516685626,0.02650073867342595,0.00011564405387971821,88143.24030417185,14.895120937130587,88174.20038432791,14.902804054047587,1107766.458884087,3132.741066887221,6518797.380808123,0.0,0.0,350.82
0,0,-0.7613372483907574,7.742952679547522e-05,0.7138896962111813,7.830297581018387e-05,0.8746713790035769,6.672795433877523e-05,-0.8020550702731393,9.811997463141392e-05,80377.62744607321,10.811562018304297,5288305153.447501,5.0100893469044685,2.366092435188088,5.7055523495963926e-05,1.917786959595954,0.00010941681108054411,0.02655485187143425,0.00011345885024920876,88117.18861485156,14.524105573351646,88148.26611119488,14.531656205404445,911784.5776698436,2086.367338792556,6315480.027341703,0.0,0.0,398.42
0,0,-0.7763517614657325,7.960253258842574e-05,0.7354005666518403,8.106017460971971e-05,0.8506376805825557,6.85221520915578e-05,-0.8057148812312912,0.00011528280778997742,78090.64647804703,12.1219962567705,5288300681.144084,5.971795664189228,2.3622774063684573,6.077774358729781e-05,1.9194679627070657,0.00011665914444061304,0.026399634009955264,0.0001302668204252567,88105.95716794569,16.312465239440687,88136.66839884565,16.320967349147132,685111.9246950621,1357.6111293890015,5961974.722083154,0.0,0.0,449.81
0,0,-0.7954074928804532,8.36899107120393e-05,0.7552867180742261,8.592984305775853e-05,0.8209002986413929,7.190544500231444e-05,-0.8057321330174202,0.00010278090390075736,75431.531124728,10.217407825336164,5288294754.381621,5.416407516688831,2.3622858164563185,6.02421394980441e-05,1.9172725570223408,0.0001154847405362618,0.026425295883945044,0.00011909631259797488,88087.9229785708,15.167545187043352,88118.68766339785,15.175377818511816,523909.9486864739,728.4919723907407,5564008.920736302,0.0,0.0,505.72
